254	253	186	68	48	86	44	0	0	40	128	6	3	76	209	136	100	110	99	18	8	147	135	10	1
254	254	175	21	0	0	0	0	0	39	130	6	1	80	228	251	250	253	245	134	133	164	32	0	0
254	255	232	48	0	4	42	38	0	40	152	9	13	184	237	140	219	255	255	249	250	180	88	38	28
254	255	234	51	0	5	92	169	48	97	149	8	64	227	214	37	178	255	255	255	255	253	248	208	106
254	255	247	111	8	0	30	212	227	238	183	72	191	253	191	22	149	254	255	253	254	255	255	253	159
254	255	255	225	52	0	25	210	255	255	251	239	253	254	170	8	72	225	250	164	135	178	248	231	223
252	254	255	244	84	1	9	117	241	255	255	255	255	231	103	20	57	193	176	29	2	25	186	201	192
113	195	254	254	183	27	0	24	207	255	255	255	231	117	9	119	233	230	56	0	0	2	102	247	245
2	56	154	214	246	111	7	21	204	255	249	192	101	14	38	200	255	235	65	1	0	8	90	204	175
41	19	8	59	190	225	63	21	204	254	203	32	37	148	210	250	255	252	189	35	2	39	167	88	8
223	194	86	25	92	238	112	19	163	251	153	20	169	250	255	255	255	254	246	139	22	2	34	22	4
156	203	232	209	177	164	194	102	59	231	114	12	177	248	208	163	150	150	145	44	19	17	6	15	88
8	117	252	227	77	11	62	91	38	142	40	88	230	197	36	7	4	5	8	106	199	195	160	185	232
1	67	214	104	44	71	5	18	74	10	16	156	174	109	3	4	58	134	97	189	254	227	228	250	197
1	8	75	47	29	153	74	36	141	57	127	48	9	16	91	144	214	253	245	251	228	84	111	169	31
20	29	165	167	30	48	154	160	121	123	240	84	8	116	235	254	255	255	255	242	94	15	118	67	0
189	194	223	183	40	4	34	50	24	190	242	144	92	46	196	250	213	202	223	212	33	2	16	7	0
235	203	84	15	42	136	140	112	92	176	106	109	40	101	223	179	37	18	44	145	33	0	0	0	34
94	23	5	18	156	248	164	49	30	30	3	9	30	135	193	36	1	1	67	207	140	18	0	5	127
73	1	0	40	203	222	158	112	52	4	82	133	197	192	180	37	34	64	190	252	245	143	75	107	225
188	79	57	23	34	37	37	94	140	18	99	164	169	57	36	17	21	42	169	165	198	231	219	223	240
253	244	236	143	23	0	9	109	191	24	1	9	28	18	69	94	9	36	152	39	39	55	44	44	101
254	255	247	137	16	7	102	232	155	7	4	12	0	31	193	174	12	107	233	92	42	13	0	0	30
253	251	150	20	0	42	193	122	42	9	5	16	0	4	59	44	27	175	253	239	216	63	9	36	95
173	249	149	62	25	106	139	6	10	35	0	0	0	0	0	1	108	247	250	165	93	20	52	212	238
