Node Number	X Location (µm)	Y Location (µm)	Z Location (µm)	Directional Deformation (µm)
9705	2,4578	-1,3414	0,	2,3825e-004
9706	2,2379	-1,6827	0,	3,765e-004
9707	1,9741	-1,9857	0,	1,5863e-003
9708	1,6715	-2,2463	0,	4,0166e-003
9709	1,3312	-2,4633	0,	5,4829e-003
9710	0,95988	-2,6303	0,	5,7291e-003
9711	0,57397	-2,7405	0,	1,9196e-003
9712	0,18991	-2,7936	0,	4,0034e-004
9735	-2,7932	0,19463	0,	3,3017e-004
9736	-2,7378	0,58673	0,	3,1255e-004
9737	-2,6255	0,97314	0,	3,2262e-004
9738	-2,4578	1,3414	0,	3,9254e-004
9739	-2,238	1,6827	0,	7,0572e-004
9740	-1,9741	1,9857	0,	3,3668e-003
9741	-1,6715	2,2463	0,	5,3746e-003
9742	-1,3312	2,4633	0,	4,3124e-003
9743	-0,95988	2,6303	0,	2,9745e-003
9744	-0,57396	2,7405	0,	7,9953e-004
9745	-0,1899	2,7936	0,	3,0067e-004
9757	-3,4915	-0,24396	0,	0,
9758	-3,4219	-0,73509	0,	0,
9759	-3,2804	-1,2202	0,	0,
9760	-3,0711	-1,6787	0,	0,
9761	-2,8001	-2,0999	0,	0,
9762	-2,4724	-2,4773	0,	0,
9763	-2,0946	-2,804	0,	0,
9764	-1,6737	-3,0739	0,	0,
9765	-1,2156	-3,2821	0,	0,
9766	-0,73034	-3,423	0,	0,
9767	-0,24136	-3,4917	0,	0,
9779	3,4915	0,24397	0,	0,
9780	3,4219	0,7351	0,	0,
9781	3,2804	1,2201	0,	0,
9782	3,0712	1,6787	0,	0,
9783	2,8001	2,0998	0,	0,
9784	2,4725	2,4773	0,	0,
9785	2,0946	2,804	0,	0,
9786	1,6737	3,0739	0,	0,
9787	1,2156	3,2821	0,	0,
9788	0,73034	3,423	0,	0,
9789	0,24136	3,4917	0,	0,
9869	-0,24398	3,4915	0,	0,
9870	-0,73513	3,4219	0,	0,
9871	-1,2202	3,2804	0,	0,
9872	-1,6787	3,0711	0,	0,
9873	-2,0999	2,8001	0,	0,
9874	-2,4773	2,4724	0,	0,
9875	-2,804	2,0946	0,	0,
9876	-3,0739	1,6737	0,	0,
9877	-3,2821	1,2156	0,	0,
9878	-3,423	0,73031	0,	0,
9879	-3,4917	0,24134	0,	0,
9891	0,24399	-3,4915	0,	0,
9892	0,73513	-3,4219	0,	0,
9893	1,2202	-3,2804	0,	0,
9894	1,6787	-3,0711	0,	0,
9895	2,0999	-2,8001	0,	0,
9896	2,4773	-2,4724	0,	0,
9897	2,8041	-2,0946	0,	0,
9898	3,0739	-1,6736	0,	0,
9899	3,2821	-1,2156	0,	0,
9900	3,423	-0,7303	0,	0,
9901	3,4917	-0,24134	0,	0,
9913	-0,19464	-2,7932	0,	2,905e-004
9914	-0,58677	-2,7378	0,	2,6773e-004
9915	-0,97319	-2,6254	0,	3,0097e-004
9916	-1,3415	-2,4577	0,	3,9595e-004
9917	-1,6828	-2,2379	0,	5,511e-004
9918	-1,9857	-1,9741	0,	6,9644e-004
9919	-2,2464	-1,6715	0,	7,5303e-004
9920	-2,4634	-1,3311	0,	6,9474e-004
9921	-2,6303	-0,95983	0,	5,7504e-004
9922	-2,7406	-0,57392	0,	4,5804e-004
9923	-2,7936	-0,18988	0,	3,7855e-004
9924	0,19465	2,7932	0,	2,0658e-004
9925	0,58678	2,7378	0,	1,6407e-004
9926	0,97318	2,6254	0,	1,489e-004
9927	1,3414	2,4578	0,	1,7189e-004
9928	1,6828	2,2379	0,	2,9428e-004
9929	1,9857	1,9741	0,	7,5446e-004
9930	2,2464	1,6715	0,	1,7262e-003
9931	2,4633	1,3311	0,	1,939e-003
9932	2,6303	0,95985	0,	1,3332e-003
9933	2,7405	0,57393	0,	5,5003e-004
9934	2,7936	0,18989	0,	2,338e-004
13976	1,3229	-2,6529	0,	4,5819e-003
13977	1,2909	-2,8466	0,	3,8729e-003
13978	1,1166	-2,7473	0,	5,185e-003
13979	2,7473	1,1166	0,	9,9435e-004
13980	2,8171	0,92537	0,	7,6042e-004
13981	3,129	-7,5162e-004	0,	1,0935e-004
13982	3,3147	0,10824	0,	6,6977e-005
13983	3,3143	-0,10899	0,	6,1885e-005
13984	-7,4694e-004	-3,129	0,	2,1731e-004
13985	0,10825	-3,3147	0,	1,5358e-004
13986	-0,109	-3,3143	0,	1,3198e-004
13987	-1,502	2,5561	0,	3,5763e-003
13988	-1,3229	2,6529	0,	3,168e-003
13989	-3,1506	-1,0321	0,	1,8191e-004
13990	-3,2139	-0,81627	0,	1,7016e-004
13991	-3,0043	-0,86877	0,	3,0489e-004
13992	-1,0322	3,1505	0,	7,3489e-004
13993	-0,81631	3,2139	0,	4,1155e-004
13994	-0,86881	3,0043	0,	9,6553e-004
13995	2,6305	1,6867	0,	9,1455e-004
13996	2,7258	1,8854	0,	4,7816e-004
13997	2,8476	1,6958	0,	4,9779e-004
13998	-2,253	-2,4306	0,	2,3656e-004
13999	-2,0478	-2,3601	0,	3,8853e-004
14000	-2,0841	-2,5769	0,	2,1046e-004
14001	-2,4307	2,253	0,	7,6373e-004
14002	-2,3601	2,0478	0,	8,3827e-004
14003	-2,5769	2,0841	0,	3,1698e-004
14004	-2,921	-0,51591	0,	3,4767e-004
14005	-3,0985	-0,4347	0,	2,5523e-004
14006	-2,9518	-0,29769	0,	3,1773e-004
14007	2,3627	2,0451	0,	5,2082e-004
14008	2,3149	1,852	0,	1,0269e-003
14009	2,1689	2,0208	0,	6,1201e-004
14010	-0,43472	3,0985	0,	2,4879e-004
14011	-0,29771	2,9518	0,	2,7649e-004
14012	-0,51594	2,921	0,	4,4227e-004
14013	-2,7444	1,1238	0,	2,7742e-004
14014	-2,8454	1,2941	0,	2,336e-004
14015	-2,6498	1,3295	0,	3,1046e-004
14016	-0,43704	-3,0976	0,	1,7879e-004
14017	-0,52222	-2,9197	0,	2,1962e-004
14018	-0,30317	-2,9507	0,	2,3219e-004
14019	3,0976	-0,43703	0,	9,7153e-005
14020	2,9198	-0,52219	0,	1,2243e-004
14021	2,9508	-0,30316	0,	1,2536e-004
14022	2,3084	-1,8595	0,	3,7118e-004
14023	2,3601	-2,0478	0,	3,4958e-004
14024	2,1622	-2,0284	0,	7,3345e-004
14025	2,0478	2,3601	0,	2,0684e-004
14026	2,0284	2,1621	0,	3,8952e-004
14027	1,8595	2,3084	0,	2,4792e-004
14028	0,93528	2,8142	0,	1,2409e-004
14029	0,71912	2,8776	0,	1,3074e-004
14030	0,87225	3,0033	0,	1,0005e-004
14031	3,0033	-0,87221	0,	1,0509e-004
14032	2,8142	-0,93525	0,	1,3858e-004
14033	2,8776	-0,7191	0,	1,2772e-004
14034	2,43	-1,6977	0,	2,8216e-004
14035	2,5522	-1,5082	0,	2,1615e-004
