Node Number	X Location (µm)	Y Location (µm)	Z Location (µm)	Directional Deformation (µm)
20853	-1,6189	-1,9051	0,	0,
20854	-1,3	-2,1354	0,	0,
20855	-0,95042	-2,3123	0,	0,
20856	-0,57562	-2,4328	0,	0,
20857	-0,19096	-2,4927	0,	0,
20898	-0,15205	-1,9942	0,	3,1576e-004
20899	-0,45843	-1,9468	0,	3,0132e-004
20900	-0,75822	-1,8507	0,	3,6952e-004
20901	-1,0414	-1,7075	0,	5,2005e-004
20902	-1,2995	-1,5203	0,	7,1885e-004
20903	-1,5209	-1,2988	0,	8,6563e-004
20904	-1,7045	-1,0462	0,	8,7046e-004
20905	-1,8488	-0,76282	0,	7,7121e-004
20906	-1,9463	-0,46054	0,	6,0974e-004
20907	-1,9941	-0,15355	0,	4,5064e-004
20908	1,9942	-0,15204	0,	1,5388e-004
20909	1,9468	-0,45841	0,	1,3228e-004
20910	1,8507	-0,75819	0,	1,4836e-004
20911	1,7075	-1,0414	0,	2,1802e-004
20912	1,5203	-1,2995	0,	5,313e-004
20913	1,2988	-1,5209	0,	3,354e-003
20914	1,0463	-1,7045	0,	5,6664e-003
20915	0,76286	-1,8488	0,	7,1912e-003
20916	0,46058	-1,9462	0,	3,2782e-003
20917	0,15358	-1,9941	0,	4,6324e-004
20918	0,15206	1,9942	0,	1,5655e-004
20919	0,45843	1,9468	0,	1,3276e-004
20920	0,7582	1,8507	0,	1,3928e-004
20921	1,0414	1,7075	0,	2,1021e-004
20922	1,2995	1,5203	0,	5,3082e-004
20923	1,5209	1,2988	0,	2,0171e-003
20924	1,7045	1,0462	0,	3,4029e-003
20925	1,8488	0,76285	0,	2,5559e-003
20926	1,9462	0,46056	0,	9,1204e-004
20927	1,9941	0,15356	0,	2,8051e-004
20958	0,19485	-2,4924	0,	0,
20959	0,58357	-2,4309	0,	0,
20960	0,96011	-2,3083	0,	0,
20961	1,3095	-2,1296	0,	0,
20962	1,6268	-1,8983	0,	0,
20963	1,9051	-1,6189	0,	0,
20964	2,1354	-1,3	0,	0,
20965	2,3123	-0,95039	0,	0,
20966	2,4328	-0,5756	0,	0,
20967	2,4927	-0,19096	0,	0,
20968	2,4924	0,19484	0,	0,
20969	2,4309	0,58354	0,	0,
20970	2,3083	0,96005	0,	0,
20971	2,1296	1,3094	0,	0,
20972	1,8983	1,6267	0,	0,
20973	1,6189	1,905	0,	0,
20974	1,3001	2,1354	0,	0,
20975	0,95046	2,3123	0,	0,
20976	0,57564	2,4328	0,	0,
20977	0,19097	2,4927	0,	0,
20978	-0,19484	2,4924	0,	0,
20979	-0,58356	2,4309	0,	0,
20980	-0,96009	2,3083	0,	0,
20981	-1,3095	2,1296	0,	0,
20982	-1,6268	1,8983	0,	0,
20983	-1,905	1,6189	0,	0,
20984	-2,1354	1,3001	0,	0,
20985	-2,3123	0,95046	0,	0,
20986	-2,4328	0,57562	0,	0,
20987	-2,4927	0,19095	0,	0,
21946	1,3086	-1,7967	0,	2,5197e-003
21947	1,4609	-1,8572	0,	1,3167e-003
21948	1,3194	-1,9604	0,	1,6482e-003
21949	1,1721	-1,7583	0,	4,1269e-003
21950	1,3137	-1,6552	0,	2,9399e-003
21951	-1,0036	-1,983	0,	2,6254e-004
21952	-1,0307	-1,8445	0,	3,7645e-004
21953	-0,87385	-1,9241	0,	3,1406e-004
21954	-1,3122	-1,965	0,	2,0257e-004
21955	-1,1444	-2,0672	0,	1,6927e-004
21956	-8,6706e-002	2,3614	0,	7,3798e-005
21957	8,5017e-002	2,3615	0,	6,4038e-005
21958	-1,6892e-003	2,2229	0,	1,1893e-004
21959	-1,983	1,0036	0,	2,6246e-004
21960	-2,1468	0,98749	0,	1,6989e-004
21961	-2,0672	1,1444	0,	1,9465e-004
21962	2,0672	-1,1443	0,	7,4099e-005
21963	1,983	-1,0036	0,	1,1441e-004
21964	2,1468	-0,98744	0,	6,5327e-005
21965	-1,8572	-1,4609	0,	3,0576e-004
21966	-1,9604	-1,3194	0,	2,9976e-004
21967	-1,7967	-1,3085	0,	5,5569e-004
21968	2,2229	1,6982e-003	0,	1,1554e-004
21969	2,1115	-8,5009e-002	0,	1,3383e-004
21970	2,1114	8,6707e-002	0,	1,8716e-004
21971	-2,2229	-1,6961e-003	0,	2,4905e-004
21972	-2,1115	8,5007e-002	0,	3,0314e-004
21973	-2,1114	-8,6703e-002	0,	3,3853e-004
21974	1,7968	1,3085	0,	1,2208e-003
21975	1,8573	1,4609	0,	5,3014e-004
21976	1,9604	1,3193	0,	7,1547e-004
21977	2,1963	-0,34151	0,	9,0462e-005
21978	2,0732	-0,4081	0,	1,1057e-004
21979	2,1	-0,23661	0,	1,2022e-004
21980	0,34153	2,1963	0,	9,2352e-005
21981	0,40813	2,0732	0,	1,1273e-004
21982	0,23663	2,1	0,	1,2282e-004
21983	-2,1	0,2366	0,	2,8118e-004
21984	-2,1963	0,34151	0,	2,1776e-004
21985	-2,0732	0,4081	0,	2,7314e-004
21986	0,34574	-2,1956	0,	5,7325e-004
21987	0,23984	-2,0996	0,	3,7826e-004
21988	0,41215	-2,0724	0,	1,5866e-003
21989	2,1956	0,34572	0,	2,3408e-004
21990	2,0996	0,23982	0,	2,6163e-004
21991	2,0724	0,41213	0,	4,439e-004
21992	-2,1956	-0,34572	0,	3,1649e-004
21993	-2,0996	-0,2398	0,	3,845e-004
21994	-2,0724	-0,41212	0,	4,4732e-004
21995	1,5696	1,5734	0,	4,0525e-004
21996	1,5547	1,4313	0,	9,7837e-004
21997	1,4307	1,5547	0,	4,5794e-004
21998	0,67987	2,1161	0,	8,7074e-005
21999	0,72874	1,9835	0,	1,1162e-004
22000	0,56189	2,037	0,	1,0857e-004
22001	1,9835	-0,72871	0,	1,2073e-004
22002	2,037	-0,56187	0,	1,1385e-004
22003	2,1161	-0,67984	0,	9,3311e-005
22004	-0,67986	-2,1161	0,	2,0495e-004
22005	-0,72874	-1,9835	0,	2,7655e-004
22006	-0,56189	-2,037	0,	2,5219e-004
22007	-2,1161	0,67985	0,	2,2046e-004
22008	-1,9835	0,72872	0,	2,807e-004
22009	-2,037	0,56187	0,	2,6836e-004
22010	-2,114	-0,68556	0,	4,0756e-004
22011	-2,0362	-0,56503	0,	5,1257e-004
22012	-1,9818	-0,73255	0,	5,7898e-004
22013	0,68557	-2,114	0,	3,4898e-003
22014	0,56506	-2,0362	0,	3,6402e-003
22015	0,73258	-1,9818	0,	5,5417e-003
